interface,signature,module,source_file
stock_financial_analysis_indicator,"(symbol: str = '600004', start_year: str = '1900') -> pandas.DataFrame",akshare.stock_fundamental.stock_finance_sina,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_fundamental\stock_finance_sina.py
stock_financial_analysis_indicator_em,"(symbol: str = '301389.SZ', indicator: str = '按报告期') -> pandas.DataFrame",akshare.stock_fundamental.stock_finance_sina,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_fundamental\stock_finance_sina.py
stock_financial_hk_analysis_indicator_em,"(symbol: str = '00853', indicator: str = '年度') -> pandas.DataFrame",akshare.stock_fundamental.stock_finance_hk_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_fundamental\stock_finance_hk_em.py
stock_financial_us_analysis_indicator_em,"(symbol: str = 'TSLA', indicator: str = '年报') -> pandas.DataFrame",akshare.stock_fundamental.stock_finance_us_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_fundamental\stock_finance_us_em.py
stock_hk_company_profile_em,(symbol: str = '03900') -> pandas.DataFrame,akshare.stock.stock_profile_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_profile_em.py
stock_hk_daily,"(symbol: str = '00981', adjust: str = '') -> pandas.DataFrame",akshare.stock.stock_hk_sina,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_hk_sina.py
stock_hk_dividend_payout_em,(symbol: str = '03900') -> pandas.DataFrame,akshare.stock.stock_profile_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_profile_em.py
stock_hk_famous_spot_em,() -> pandas.DataFrame,akshare.stock.stock_hk_famous,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_hk_famous.py
stock_hk_fhpx_detail_ths,(symbol: str = '0700') -> pandas.DataFrame,akshare.stock.stock_hk_fhpx_ths,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_hk_fhpx_ths.py
stock_hk_financial_indicator_em,(symbol: str = '03900') -> pandas.DataFrame,akshare.stock.stock_profile_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_profile_em.py
stock_hk_ggt_components_em,() -> pandas.DataFrame,akshare.stock_feature.stock_hsgt_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_hsgt_em.py
stock_hk_growth_comparison_em,(symbol: str = '03900') -> pandas.DataFrame,akshare.stock.stock_hk_comparison_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_hk_comparison_em.py
stock_hk_gxl_lg,() -> pandas.DataFrame,akshare.stock_feature.stock_gxl_lg,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_gxl_lg.py
stock_hk_hist,"(symbol: str = '00593', period: str = 'daily', start_date: str = '19700101', end_date: str = '22220101', adjust: str = '') -> pandas.DataFrame",akshare.stock_feature.stock_hist_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_hist_em.py
stock_hk_hist_min_em,"(symbol: str = '01611', period: str = '1', adjust: str = '', start_date: str = '1979-09-01 09:32:00', end_date: str = '2222-01-01 09:32:00') -> pandas.DataFrame",akshare.stock_feature.stock_hist_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_hist_em.py
stock_hk_hot_rank_detail_em,(symbol: str = '00700') -> pandas.DataFrame,akshare.stock.stock_hk_hot_rank_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_hk_hot_rank_em.py
stock_hk_hot_rank_detail_realtime_em,(symbol: str = '00700') -> pandas.DataFrame,akshare.stock.stock_hk_hot_rank_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_hk_hot_rank_em.py
stock_hk_hot_rank_em,() -> pandas.DataFrame,akshare.stock.stock_hk_hot_rank_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_hk_hot_rank_em.py
stock_hk_hot_rank_latest_em,(symbol: str = '00700') -> pandas.DataFrame,akshare.stock.stock_hk_hot_rank_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_hk_hot_rank_em.py
stock_hk_index_daily_em,(symbol: str = 'HSTECF2L') -> pandas.DataFrame,akshare.index.index_stock_hk,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\index\index_stock_hk.py
stock_hk_index_daily_sina,(symbol: str = 'CES100') -> pandas.DataFrame,akshare.index.index_stock_hk,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\index\index_stock_hk.py
stock_hk_index_spot_em,() -> pandas.DataFrame,akshare.index.index_stock_hk,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\index\index_stock_hk.py
stock_hk_index_spot_sina,() -> pandas.DataFrame,akshare.index.index_stock_hk,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\index\index_stock_hk.py
stock_hk_indicator_eniu,"(symbol: str = 'hk01093', indicator: str = '市盈率') -> pandas.DataFrame",akshare.stock_feature.stock_a_indicator,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_a_indicator.py
stock_hk_main_board_spot_em,() -> pandas.DataFrame,akshare.stock_feature.stock_hist_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_hist_em.py
stock_hk_profit_forecast_et,"(symbol: str = '09999', indicator: str = '盈利预测概览') -> pandas.DataFrame",akshare.stock_fundamental.stock_profit_forecast_hk_etnet,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_fundamental\stock_profit_forecast_hk_etnet.py
stock_hk_scale_comparison_em,(symbol: str = '03900') -> pandas.DataFrame,akshare.stock.stock_hk_comparison_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_hk_comparison_em.py
stock_hk_security_profile_em,(symbol: str = '03900') -> pandas.DataFrame,akshare.stock.stock_profile_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_profile_em.py
stock_hk_spot,() -> pandas.DataFrame,akshare.stock.stock_hk_sina,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_hk_sina.py
stock_hk_spot_em,() -> pandas.DataFrame,akshare.stock_feature.stock_hist_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_hist_em.py
stock_hk_valuation_baidu,"(symbol: str = '06969', indicator: str = '总市值', period: str = '近一年') -> pandas.DataFrame",akshare.stock_feature.stock_hk_valuation_baidu,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_hk_valuation_baidu.py
stock_hk_valuation_comparison_em,(symbol: str = '03900') -> pandas.DataFrame,akshare.stock.stock_hk_comparison_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_hk_comparison_em.py
stock_hold_management_person_em,"(symbol: str = '001308', name: str = '吴远') -> pandas.DataFrame",akshare.stock.stock_hold_control_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_hold_control_em.py
stock_index_pb_lg,(symbol: str = '上证50') -> pandas.DataFrame,akshare.stock_feature.stock_a_pe_and_pb,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_a_pe_and_pb.py
stock_index_pe_lg,(symbol: str = '沪深300') -> pandas.DataFrame,akshare.stock_feature.stock_a_pe_and_pb,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_a_pe_and_pb.py
stock_industry_pe_ratio_cninfo,"(symbol: str = '证监会行业分类', date: str = '20210910') -> pandas.DataFrame",akshare.stock.stock_industry_pe_cninfo,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_industry_pe_cninfo.py
stock_market_pb_lg,(symbol: str = '上证') -> pandas.DataFrame,akshare.stock_feature.stock_a_pe_and_pb,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_a_pe_and_pb.py
stock_market_pe_lg,(symbol: str = '深证') -> pandas.DataFrame,akshare.stock_feature.stock_a_pe_and_pb,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_a_pe_and_pb.py
stock_us_valuation_baidu,"(symbol: str = 'NVDA', indicator: str = '总市值', period: str = '近一年') -> pandas.DataFrame",akshare.stock_feature.stock_us_valuation_baidu,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_us_valuation_baidu.py
stock_zh_a_cdr_daily,"(symbol: str = 'sh689009', start_date: str = '19900101', end_date: str = '22201116') -> pandas.DataFrame",akshare.stock.stock_zh_a_sina,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_zh_a_sina.py
stock_zh_a_daily,"(symbol: str = 'sh603843', start_date: str = '19900101', end_date: str = '21000118', adjust: str = '') -> pandas.DataFrame",akshare.stock.stock_zh_a_sina,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_zh_a_sina.py
stock_zh_a_disclosure_relation_cninfo,"(symbol: str = '000001', market: str = '沪深京', start_date: str = '20230618', end_date: str = '20231219') -> pandas.DataFrame",akshare.stock_feature.stock_disclosure_cninfo,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_disclosure_cninfo.py
stock_zh_a_disclosure_report_cninfo,"(symbol: str = '000001', market: str = '沪深京', keyword: str = '', category: str = '', start_date: str = '20230618', end_date: str = '20231219') -> pandas.DataFrame",akshare.stock_feature.stock_disclosure_cninfo,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_disclosure_cninfo.py
stock_zh_a_gbjg_em,(symbol: str = '603392.SH') -> pandas.DataFrame,akshare.stock_fundamental.stock_gbjg_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_fundamental\stock_gbjg_em.py
stock_zh_a_gdhs,(symbol: str = '20230930') -> pandas.DataFrame,akshare.stock_feature.stock_gdhs,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_gdhs.py
stock_zh_a_gdhs_detail_em,(symbol: str = '000001') -> pandas.DataFrame,akshare.stock_feature.stock_gdhs,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_gdhs.py
stock_zh_a_hist,"(symbol: str = '000001', period: str = 'daily', start_date: str = '19700101', end_date: str = '20500101', adjust: str = '', timeout: float = None) -> pandas.DataFrame",akshare.stock_feature.stock_hist_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_hist_em.py
stock_zh_a_hist_min_em,"(symbol: str = '000001', start_date: str = '1979-09-01 09:32:00', end_date: str = '2222-01-01 09:32:00', period: str = '5', adjust: str = '') -> pandas.DataFrame",akshare.stock_feature.stock_hist_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_hist_em.py
stock_zh_a_hist_pre_min_em,"(symbol: str = '000001', start_time: str = '09:00:00', end_time: str = '15:50:00') -> pandas.DataFrame",akshare.stock_feature.stock_hist_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_hist_em.py
stock_zh_a_hist_tx,"(symbol: str = 'sz000001', start_date: str = '19000101', end_date: str = '20500101', adjust: str = '', timeout: float = None) -> pandas.DataFrame",akshare.stock_feature.stock_hist_tx,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_hist_tx.py
stock_zh_a_minute,"(symbol: str = 'sh600519', period: str = '1', adjust: str = '') -> pandas.DataFrame",akshare.stock.stock_zh_a_sina,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_zh_a_sina.py
stock_zh_a_new,() -> pandas.DataFrame,akshare.stock.stock_zh_a_special,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_zh_a_special.py
stock_zh_a_new_em,() -> pandas.DataFrame,akshare.stock.stock_zh_a_special,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_zh_a_special.py
stock_zh_a_spot,() -> pandas.DataFrame,akshare.stock.stock_zh_a_sina,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_zh_a_sina.py
stock_zh_a_spot_em,() -> pandas.DataFrame,akshare.stock_feature.stock_hist_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_hist_em.py
stock_zh_a_spot_tx,() -> pandas.DataFrame,akshare.stock.stock_zh_a_tx,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_zh_a_tx.py
stock_zh_a_st_em,() -> pandas.DataFrame,akshare.stock.stock_zh_a_special,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_zh_a_special.py
stock_zh_a_stop_em,() -> pandas.DataFrame,akshare.stock.stock_zh_a_special,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_zh_a_special.py
stock_zh_a_tick_tx_js,(symbol: str = 'sz000001') -> pandas.DataFrame,akshare.stock.stock_zh_a_tick_tx,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_zh_a_tick_tx.py
stock_zh_ab_comparison_em,() -> pandas.DataFrame,akshare.stock_feature.stock_hist_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_hist_em.py
stock_zh_ah_daily,"(symbol: str = '02318', start_year: str = '2000', end_year: str = '2019', adjust: str = '') -> pandas.DataFrame",akshare.stock.stock_zh_ah_tx,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_zh_ah_tx.py
stock_zh_ah_name,() -> pandas.DataFrame,akshare.stock.stock_zh_ah_tx,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_zh_ah_tx.py
stock_zh_ah_spot,() -> pandas.DataFrame,akshare.stock.stock_zh_ah_tx,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_zh_ah_tx.py
stock_zh_ah_spot_em,() -> pandas.DataFrame,akshare.stock.stock_hsgt_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_hsgt_em.py
stock_zh_valuation_baidu,"(symbol: str = '002044', indicator: str = '总市值', period: str = '近一年') -> pandas.DataFrame",akshare.stock_feature.stock_zh_valuation_baidu,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock_feature\stock_zh_valuation_baidu.py
stock_zh_valuation_comparison_em,(symbol: str = 'SZ000895') -> pandas.DataFrame,akshare.stock.stock_zh_comparison_em,E:\大学\实习\嘉驰国际\AKShare 量化金融数据\.venv\Lib\site-packages\akshare\stock\stock_zh_comparison_em.py
